sentence	label	agreement
"If our findings are broadly representative of the overall U.K. population, then we can assume that higher level of adherence to the Mediterranean diet could have significant impact in lowering the cardiovascular disease burden in the U.K.,"" notes Dr. Forouhi."	1.0	strong
If you notice that they have an unpleasant smell or a slimy appearance, they must not be used.	0.0	strong
In 2010, 60.5 million people globally were living with glaucoma.ii Given the aging of the world's population, the number of people living with glaucoma may increase to nearly 80 million by 2020.ii	1.0	strong
India cannot use protocols followed by the developed world, either, because of the high number of those infected and drug resistance patterns.	1.0	strong
Involvement of a defense response during Penicillium expansum infection Postharvest Biology and Technology	0.0	strong
Is the latest study retraction really good news for the GMO lobby?	0.0	strong
It is awesome at killing harmful bacteria and stimulating gum circulation too.	1.0	strong
LDL Cholesterol Independently Associated With Subclinical Atherosclerosis	1.0	strong
Lack of respect for a public in crisis undermines trust.	0.0	strong
Let the medical professionals consider your recovery status to determine the kind and form of opioid that will be safest for you to take.	0.0	strong
Maldonado he was a victim of overzealous regulators, the Times added.	0.0	weak
Marijuana could help treat alcoholism and opioid addiction, study finds	1.0	strong
Medical Mistakes Affect 1 in 5 People	0.0	strong
MetS in humans should be a subject of investigation.	1.0	strong
Mix sugar into the butter and set aside for 20 minutes until cool.	0.0	strong
More in the Debate Over Whether or Not Aging Should be Called a Disease	0.0	strong
Narcoleptic Drug, the Next Best Weight-Loss Pill to Curb Food Addiction, Research Says	1.0	weak
Neuroimaging categorizes four unique subtypes of depression	0.0	weak
Not Just a Childhood Disorder: How ADHD Affects Adults	0.0	strong
Ohio Governor John Kasich Signs 20-Week Abortion Ban Into Law	0.0	weak
Only half of all women who are living with HIV have achieved viral suppression (i.e., have a low enough level of the virus to stay healthy and greatly reduce their chance of transmitting HIV to others).	1.0	strong
Other drugs also don’t get absorbed as well when a person is on Proton Pump Inhibitors,” Paauw said.	1.0	weak
Oxytocin Filters Inputs To VTA Dopamine Neurons	1.0	weak
P < 0.05 was considered statistically significant for all analysis.	0.0	strong
Par boil link Italian sausage before frying until done.	0.0	strong
Parents should avoid pressuring young children over grades, study says	1.0	strong
People who get a prescription from their doctor for a drug that’s not approved to treat their condition may be at a higher risk	1.0	weak
People with COPD should not think that it is impossible to be active or enjoy life due to their illness.	1.0	weak
Playing With Concussion Doubles Recovery Time For High School Athletes	1.0	strong
Political Party Leader Urges Pluralistic Ethos for Religious Tolerance in India	0.0	strong
Pollution is killing more people than wars, obesity, smoking, and malnutrition	1.0	weak
Possible Addiction Transference From Cocaine Insufflation to... : Journal of Addiction Medicine	1.0	weak
Practice guidelines from the International Society for Traumatic Stress Studies.	0.0	strong
Radiation Therapy for Mesothelioma	0.0	strong
Researchers Link ADHD with Childhood Trauma	1.0	strong
Researchers believe that a retrovirus (simian immunodeficiency virus) from the chimpanzee Pan troglodyte passed to humans in west Africa and developed into types of HIV.	1.0	strong
Russian Scientists Discover Protein Which Causes Cancer Cells to Self-Destruct	1.0	strong
SDG target 3.4 with eight SDGs in addition to SDG 3 (healthy lives and well-being) and demonstrates the tight-knit connection between economic growth and controlling NCDs.	1.0	strong
Save the scraps that you’ve cut from the rough edges and use those in the next ball that you roll out.	0.0	strong
Science Says These 8 Common Diseases Can Be Reversed By A Plant-Based Diet	1.0	weak
Six Things You Need to Know for National Black HIV/AIDS Awareness Day	0.0	weak
Sleepless Nights Show Ties To Alzheimer's Risk	1.0	weak
St. Jude Medical concealed defects in devices, FDA says	1.0	strong
Stir in chili powder and season with salt and pepper.	0.0	weak
Study: ADHD Symptoms Are Going Untreated in Black Youth	1.0	strong
Successful communities were able to get both local and international donors on board to provide them financial support.	0.0	weak
THIS Opioid Painkiller is Removed From Market by FDA! Read Why!	0.0	weak
TVs in children's bedrooms linked to increase in child obesity, study finds	1.0	weak
Taxi Industry In India: A Story Of Bootleggers And Baptists	0.0	strong
Testosterone Reduces Promiscuity of Female Blue Tits (Cyanistes caeruleus): An Experimental Study	1.0	strong
That includes some controversial decisions to clear treatments that tackle a smattering of symptoms or are basically unproven from a clinical standpoint (consider the agency’s recent approvals for Duchenne muscular dystrophy medicines in the wake of patient group pressure).	0.0	strong
The Alaska Department of Fish and Game works closely with the Alaska seafood industry to ensure that healthy fish are available for consumers.'	1.0	strong
The HIV/AIDS Epidemic in the United States: The Basics	0.0	strong
The Health Benefits Of Fasting	0.0	strong
The Machines That Could Darken the Sun to Stop Climate Change	0.0	strong
The accusations hurled by politicians and the media, however, take attention away from these solutions.	0.0	strong
The case of Switzerland is remarkable, because GM OSR has neither been cultivated nor imported into the country.	0.0	strong
The deal was announced while Xi Jinping was in the U.K.	0.0	strong
The ill person in Utah purchased kratom powder from the website kratoma.com.	0.0	weak
The researchers think that there may be two plausible reasons.	0.0	strong
The secret to staying young is broccoli and cabbage	1.0	strong
There may be BPA leaching from your baby's teether	0.0	weak
There was nothing else, to see except the sculpture of Shivaji and his mother, with a golden plough.	0.0	strong
Therefore, social language may be a promising candidate ASD endophenotype connected with FMR1-related variation.	1.0	strong
They also call for further studies on the sub-chronic, chronic and immunotoxicological effects of Bt toxins, particularly on humans.	0.0	strong
They do enjoy the same but make their own smart choices.	0.0	strong
This Quarterly IT Spending Forecast page includes links to the latest IT spending reports, webinars, blog posts and press releases.	0.0	weak
This has been linked to an increase in the release of dopamine and serotonin.	1.0	strong
This human protein may unfurl toxic tangles in Alzheimer’s disease	1.0	strong
This is the age you'll have your best orgasm	0.0	weak
This is the first paper that I'd say is really watertight.	0.0	strong
This is why we are so committed to this initiative as victory here will likely eliminate genetically engineered foods from the US.	1.0	weak
To keep the used stock fresh,” Oliphint reported, “Hall does home visits all over Ohio and beyond,” and he has a network of “basement pickers” feeding him cool records on a regular basis.	0.0	strong
Top 10 Signs of Creeping Authoritarianism, Revisited	0.0	strong
Use it sparingly as needed, and make sure you are in communication with your doctor about how much and how often you’re taking it.	0.0	weak
VA Dangerous Device Lawyers: Johnson & Johnson Orthopedic Devices Recalled by FDA	0.0	weak
We also have a Health Humanties Research Cluster sponsored ‘paper with a practical’ with Dr Claire Trenery to round off the day’s proceedings.	0.0	strong
We believe many of these could lead to revolutionary drugs.	1.0	strong
We treat these places with antimicrobial agents that quickly dry to a safe but effective, albeit somewhat invisible, coating.	1.0	strong
We want to help you feel more at ease when you’re around other people and have to interact when it feels most uncomfortable.	0.0	weak
Well this is what you get when you unleash those hounds: a lot of collateral damage, even including Russia's own major oil company Rosneft, ironically owned for a good chunk by Putin himself.	0.0	strong
What America can learn about food sovereignty from Bolivia	0.0	strong
What's Tylenol Doing to Our Minds?	0.0	strong
When you look at large studies, people eating the most fruits, veggies, and grains are eating the highest fiber and thereby eating lower calories and losing more weight than meat eaters (Mozaffarian, Hao, et al.	1.0	strong
While much of this information is publicly available, what may be most useful is an account of what projects failed, and why.	0.0	weak
Withdrawal from ADHD Medications	1.0	weak
You should contact your health care provider if symptoms persist.	0.0	weak
You will do these people a great disservice by giving them surgery, radiation, chemotherapy, what have you, and you will spend a great deal of time, effort, and money that could go to people who need it.	0.0	weak
Your Child NEEDS the HPV Vaccine: 13 Reasons Why the CDC is Right	0.0	strong
"""BPA-free"" plastic alternatives may not be safe"	1.0	weak
10 Essential Facts About Ovarian Cancer	0.0	weak
10 Spectacular Must-Visit Synagogues Of The World	0.0	strong
10 Tips for a Smooth School Year for Students With ADHD	0.0	strong
10 things we learned about relationships in 2016	0.0	weak
10 tips for being healthier and more productive at work	0.0	strong
100 years of independence – what do you know about Finland?	0.0	strong
101 Lead Magnet Ideas For Every Stage Of Your Marketing Funnel	0.0	strong
11 Days on the Trail in Nepal	0.0	strong
14 Cancer-Causing Foods You Should NEVER Put In Your Mouth Again	0.0	weak
17.2 The costs of smoking	0.0	weak
2,000 7-Eleven Customers May Have Been Exposed to Hepatitis A	0.0	weak
20 ridiculously easy ways to be happy	0.0	strong
3 Reasons Not to Drink Alcohol	0.0	strong
3 Reasons We Are Making India the Next Country We Check Off Our List	0.0	strong
4 Reasons why runners should get a lower rate on life insurance	1.0	strong
5 Ways Your Life Changes After You Are Diagnosed With ADHD	0.0	weak
6 Foods (and 1 Drink) That Are Linked to Inflammation	0.0	weak
6 percent of pregnant women with Zika face birth defects	0.0	weak
7 Benefits of Eating Walnuts	0.0	weak
7 Shocking Facts About the Addiction Crisis in America	0.0	strong
7 Subtle Signs You Have An Anxiety Disorder, From Muscle Tension To Chronic Indigestion	0.0	strong
9 Legitimate Health Benefits of Eating Whole Grains	1.0	weak
A Disproportionate Number of Autistic Youth Are Transgender. Why?	0.0	weak
A Third Person Has Died After Taking Synthetic Weed Linked to Uncontrollable Bleeding	0.0	strong
A Walmart ad for these frozen funeral potatoes caused confusion on the internet, as people across the country tried to figure out exactly what the moniker means.	0.0	strong
A Week Raising Awareness that Addiction is a Disease, Treatments are Available, and a Qualified Workforce is Needed to Treat Addiction	0.0	strong
A bemused Benjamin Franklin noted the “disagreeable odour” the vegetable produced in his urine.	0.0	strong
A couple years ago, 8 years ago actually, I started working for an Independent Chinese Television station based in New York, New Tang Dynasty Television.	0.0	strong
A full session with tantra massage specialist and spiritual healer David Joyner lasts three to four hours and costs $350.	0.0	strong
A genetic screen of the mutations in the Korean patients with early-on	0.0	weak
A global chocolate crisis looms, but scientists believe they can genetically engineer a fix	1.0	strong
A heat shock protein 70 gene (DcHsp70) from carrot (Daucus carota L. ‘Mussangochon’) was isolated using PCR.The gene	0.0	weak
A new RCT of homeopathy … and, guess what, it reports a positive result (but are we being misled or not?)	0.0	weak
A new blood test might reveal whether someone is at risk of getting Alzheimer’s disease.	1.0	weak
A new peer-reviewed article describes how the unregulated chemicals present in commercial formulations of pesticides could provide a missing link between negative health effects and pesticide exposure.	1.0	weak
A new report says we should tax meat-eaters like smokers	1.0	weak
A new study suggests that when it comes to intervening in adolescents’ consumption of Sugar Sweetened Beverages (SSB), it’s time to focus on consumption of SSBs at home.	0.0	strong
A number of venture capital-backed startup or crowd-funded groups are marketing sensors by configuring a few dollars’ worth of electronics and some intellectual property – mainly software – into aesthetically pleasing packages.	0.0	strong
A painkiller at the heart of the opioid epidemic has been taken off the market	0.0	weak
A potential cause of Barrett's esophagus has been found.	1.0	strong
A powerful congressional panel voted on Thursday to continue shielding medical marijuana patients and providers who comply with state laws from prosecution by the federal government.	0.0	weak
A qualitative analysis of the experiences of elite athletes who have admitted to doping for performance enhancement	0.0	weak
A qualitative descriptive design was adopted with data collected through focus group interviews in seven sites across Europe and Australia.	0.0	strong
A scoping review of deictic gesture use in toddlers with or at-risk for autism spectrum disorder	0.0	strong
A team of researchers from the Ecole Polytechnique Federale de Lausanne (EPFL) and the life science company Amazentis decided to investigate the fruit more closely and discovered that there is a molecule within pomegranates that is transformed by microbes in the gut, allowing muscle cells to protect themselves against one of the major causes of aging.	1.0	strong
A total of 1,588 developed heart failure during that period, with the highest risk found among those who either rarely or never drank alcohol or overindulged.	1.0	weak
A total of 27 HIV-positive Black men who have sex with men participated in semi-structured interviews, which were transcribed verbatim and coded using thematic analysis by multiple raters.	0.0	weak
A toxic feeling jets through your stomach like a shooting star.	1.0	weak
"A variety of commercially-available bone treats for dogs-including treats described as ""Ham Bones,"" ""Pork Femur Bones,"" ""Rib Bones,"" and ""Smokey Knuckle Bones"" were listed in the reports."	0.0	weak
A version of this story was originally published by Grist and appears here as part of an ongoing collaboration.	0.0	strong
A vitamin D deficiency can lead to serious health problems that affect the bones.	1.0	strong
A wide set of different techniques may be considered, mainly those based on radiometry, spectroscopy (i.e., DOAS, FTS, etc.)	0.0	strong
ADHD Treatment: Sleep Better With Stimulants - Medication - ADHD	1.0	weak
ADHD is typically associated with overactive children who can’t seem to quit bouncing off the walls, but it affects more than just kids.	1.0	strong
Abortion, video games and masculinity: 3 surprising takes on Florida shooting you might have missed	0.0	strong
Acne Treatment With LEXLI: Aloe-Based Products	0.0	strong
Activation and Repression of Transcription Factors via a Synthetic Construct in Arabidopsis thaliana	0.0	weak
Adoption and the Single Guy	0.0	strong
After Hurricane, Signs of a Mental Health Crisis Haunt Puerto Rico	0.0	weak
Aging and HIV/AIDS: Neurocognitive Implications for Older HIV-Positive Latina/o Adults	1.0	weak
Air India Stops Serving Meat on Domestic Flights. Is It a Cost-Saving Measure or a Political Move? · Global Voices	0.0	strong
Alert: Asthma and Allergy Meds Can Trigger Tics	1.0	strong
Aluminium in Allergies and Allergen immunotherapy	0.0	weak
Alzheimer's linked to unsaturated fatty acids in the brain	1.0	weak
Americans Are Still Dying From AIDS. We Need More HIV Prevention	0.0	weak
Analysis of “Modulation of late positive potentials by sexual images in problem users and controls inconsistent with porn addiction” (Prause et al., 2015)	1.0	weak
Analytic Philosophy in India	0.0	strong
Animated PNG format: How does it compare to Animated WebP and GIF?	0.0	strong
Annals of Clinical and Translational Neurology	0.0	weak
Anti-Aging Process Rejuvenates Lab Mice: Study	1.0	weak
Antibiotic Prescriptions for Children: 10 Common Questions Answered	0.0	weak
Anxiety and Depression	0.0	strong
Arch, Fidelity, Bezos Bet $116M On Startup To Fight Diseases Of Aging	0.0	weak
Are ‘Friendship Benches’ The Cure For Depression, Anxiety In Poor Countries?	0.0	weak
Association of Gene Polymorphisms in Interleukin 6 in Infantile Bronchial Asthma	0.0	weak
Attacking muscle diseases like ALS by clearing protein clumps	1.0	weak
Autism Facts: 25 Facts About Autism	0.0	strong
Avian Flu Diary: CDC FluView Week 46: 1 Novel H1N2v Infection In Iowa	0.0	weak
BPA is a chemical added to clear plastics, so it shows up pretty much everywhere.	1.0	weak
BRCA – the need to know about the “breast cancer gene”	0.0	strong
Babies May Understand How Words Relate	0.0	strong
Baby teethers soothe, but many contain low levels of BPA	1.0	weak
Back Pain from Mountain Biking? Here is How to Cure It and Avert It	0.0	strong
Bacteria Responsible for Periodontal Disease Might Also Cause Rheumatoid Arthritis	1.0	strong
Bad news for Peter Thiel and others pinning their anti-aging hopes on the blood of the young	0.0	strong
Beer compound could help fend off Alzheimer’s and Parkinson’s diseases	1.0	strong
Benefits Of Mouthwash: Listerine May Act As Gonorrhea Treatment By Inhibiting Bacteria Growth	1.0	strong
Big Pharma’s Manufactured Epidemic: The Misdiagnosis of ADHD	1.0	weak
Booze Not So Great for the Heart After All, Study Says	1.0	weak
Brain Stimulation in Mice Gives Hope of Restoring Social Behaviours in Autism	0.0	weak
Brenda Fitzgerald: Trump’s public health chief wants to partner with industry	0.0	strong
British Journal of Health Psychology	0.0	strong
Busting 8 common HIV testing myths | Positive Peers	0.0	weak
CDC Designates Zika Cautionary Area in Texas	0.0	weak
CDC Director Arrested for Child Molestation and Bestiality	0.0	strong
CDC Finds Lead Poisoning in Child Who Wore 'Homeopathic Magnetic Hematite Healing Bracelet'	0.0	weak
CDC Report Shows Abortion Rates Falling, But At Least 600,000 Babies Still Killed Each Year	0.0	weak
CDC app addresses concussion awareness, helmet safety	0.0	weak
CDC urging people to get a flu shot for the new year	0.0	strong
CDC: Death rate from Alzheimer’s up 55%	1.0	weak
CDC: Don't kiss your turtle; Salmonella outbreak linked to pets	0.0	weak
CNN columnist argues there’s a way to stop mass shootings… let children vote	0.0	strong
California Could Overturn Controversial HIV Law	1.0	weak
Campylobacter jejuni infection associated with relatively poor condition and low survival in a wild bird	1.0	weak
Can a pill prevent HIV? Negotiating the biomedicalisation of HIV prevention	0.0	strong
Can birth control make my acne better?	1.0	weak
Can medical marijuana curb the heroin epidemic?	0.0	weak
Cardiovascular Risk Factors in Adolescents With Celiac Disea... : Journal of Pediatric Gastroenterology and Nutrition	1.0	weak
Care planning for aggression management in a specialist secure mental health service: An audit of user involvement	0.0	strong
Case Study: Utilizing a Low FODMAP Diet to Combat Exercise-Induced Gastrointestinal Symptoms	1.0	weak
Caveolin-3 plays a critical role in autophagy after ischemia-reperfusion	1.0	strong
Cellular immunotherapy targets a common human cancer mutation	1.0	weak
Changes in cytokines, leptin, and IGF-1 levels in overtrained athletes during a prolonged recovery phase: A case-control study	0.0	weak
Chick-fil-A is being sued for alleged bias against job applicant with autism	0.0	strong
Childhood Computer Game Addiction	0.0	strong
Children prefer to read books on paper rather than screens	0.0	weak
Chronic Stress Drives Immune Cells to Remodel Neural Circuits, Possibly Promoting Anxiety and Depression	1.0	weak
Cigarette maker stocks plunge on FDA announcement, but health experts are skeptical	0.0	strong
Classifying Aging As a Disease: The Role of Microbes	0.0	weak
Coffee Beans Are Good for Birds, Fancy Brew or Not	0.0	weak
Cognitive rehabilitation after stroke	0.0	strong
Combination of insulin-like growth factor-1, IGF binding protein-3, chromogranin A and prostate specific antigen can improve the detection of prostate cancer	1.0	strong
Community is key for new, large HIV vaccine trial	1.0	weak
Consumption of Apple Juice in Hemodialysis Patients	1.0	weak
Could saunas reduce stroke risk?	0.0	weak
Crooked Stave Artisan Beer Project	0.0	strong
Culprit in Heart Disease Goes Beyond Meat’s Fat	0.0	weak
DJD.J. is a Portland, Oregon based writer that spent his formative years in the Midwest.	0.0	strong
DSH payments offset the cost of caring for low-income patients.	1.0	strong
Dangerous medical alternatives: MMS and nosodes; Bleach enemas to treat autism and vaccine alternatives	0.0	weak
David Hogg just landed an epic dunk on the NRA president for trying to blame Ritalin for school shootings	0.0	strong
Deprivation Tank Anxiety	0.0	weak
Determinants of time trial performance and maximal incremental exercise in highly trained endurance athletes	1.0	weak
Differential responses of six Chinese cabbage (Brassica rapa L. ssp. pekinensis) cultivars to potassium ion deficiency	0.0	weak
Diverging Stories of “Missing Women” in South Asia: Is Son Preference Weakening in Bangladesh?: Feminist Economics: Vol 20, No 4	0.0	strong
Does Climate Change Cause More War?	0.0	strong
Does arthritis affect the eyes? What you need to know	0.0	weak
Does mortality fall when doctors go on strike?	0.0	strong
Does taking allergy medication make my allergies worse?	0.0	strong
Dog food and treats recalled for possible salmonella, listeria contamination	0.0	weak
Don’t Accidentally Overdose on Black Licorice This Halloween, the FDA Warns	0.0	weak
Drug and Alcohol Review	0.0	strong
Drug-resistant E. coli Found in Nearly Two-thirds of UK Chicken Samples	0.0	weak
Dubious gene test for addiction risk exploits loophole and opioid fears	1.0	weak
E-cigarettes are one of the nation’s hottest trends.	0.0	weak
EPA -- Notice of Public Hearing	0.0	strong
Effects of household washing on bacterial load and removal of Escherichia coli from lettuce and “ready‐to‐eat” salads	1.0	weak
Electric Generating Costs: A Primer	0.0	strong
Essential Oils Support Physical and Emotional Well-Being	1.0	weak
Evolution and the latitudinal diversity gradient: speciation, extinction and biogeography	0.0	weak
Exercise, Even In Small Doses, Offers Tremendous Benefits For Senior Citizens	1.0	weak
Extensive transcriptional variation poses a challenge to thermal stress biomarker development for endangered corals	1.0	weak
Eye-Opener: Might Alzheimer’s Disease Be 'Foodborne'?	0.0	weak
FDA Announces Resistant Starch Health Claim for Type 2 Diabetes	1.0	weak
FDA Approves Ocrevus™ (ocrelizumab) for People with Primary Progressive MS or Relapsing MS -- First	0.0	weak
FDA Approves Vemurafenib for Erdheim-Chester Disease	1.0	weak
FDA Cracks Down on TV Ad for Prescription Weight Loss Drug	0.0	strong
FDA Forces Nationwide Recall of These Turmeric Brands Contaminated With Toxic Lead!	0.0	strong
FDA Mulls Tighter Regulation of Gene-Edited Animals	0.0	weak
FDA OKs new peanut allergy food labels	1.0	weak
FDA Proposes New Rule on Bulk Substances Used to Compound Drugs	0.0	weak
FDA Recalls Nearly 500,000 Pacemakers Due To Hacking Risk – True Pundit	0.0	weak
FDA Warns 14 Companies To Stop Selling Illegal Cancer Treatments	0.0	strong
"FDA also admits that there is no scientific proof that amalgam is safe for these populations: 'Very limited to no clinical information is available regarding long-term health outcomes in pregnant women and their developing fetuses, and children under the age of [6], including infants who are breastfed.'"""	1.0	weak
FDA approves smallest valve for babies with congenital heart defects	1.0	weak
FDA clears first-ever artificial pancreas for automated insulin delivery	0.0	weak
FDA commissioner, intent on fighting costs, rolls out generic hit list and puts some copycats first in line	1.0	weak
FDA confirms toxicity of homeopathic baby products; Maker refuses to recall [Updated]	1.0	strong
FDA guidance documents help processors meet PCAF, PCHF requirements	0.0	weak
FDA permits marketing of clinical decision support software alerting providers of potential stroke 16 February 2018 (0 Comments)	0.0	strong
FDA to align menu-labeling compliance, enforcement	0.0	strong
FDA, endocrinologists at odds over agency’s latest BPA safety claims	0.0	weak
FRIDAY, Sept. 16, 2016 (HealthDay News) -- For some teens with bipolar disorder, the risk that they will abuse alcohol and drugs may increase as they get older, a new study suggests.	1.0	weak
Factors Associated with HIV Status Disclosure in HIV-Infected Sub-Saharan Migrants Living in France and Successfully Treated with Antiretroviral Therapy: Results from the ANRS-VIHVO Study	1.0	strong
False Headline on HIV Blood Donation	0.0	weak
Farm antibiotic sales rise slightly ahead of FDA curbs	0.0	weak
Fascinating Harvard exhibit explores the rise of anthropology	0.0	weak
Feel Great Throughout Your Life	0.0	strong
Fifteen-minute consultation: The healthy child: “My child is a fussy eater!”	0.0	strong
Fighting AIDS in the Deep South: Glimmers of Hope	0.0	weak
Following Multiple Violations, FDA Demands Action From Raw Pet Food Manufacturer	0.0	strong
For Older HIV-Positive People, Social Support Can Save Lives	1.0	weak
For One Baltimore School, 7 Killings in Just 15 Months	0.0	strong
For the EPA, ‘reform’ means giving industry what it wants – Center for Public Integrity	0.0	strong
For the Record, Op. 10: Mozart Complete Works; Isabelle Faust's Mozart Concertos	0.0	strong
Former San Francisco 49ers Star Dwight Clark Has ALS	0.0	strong
Galactosides Treat Urinary Tract Infections Without Antibiotics	1.0	strong
Gender-based violence and HIV infection: Overlapping epidemics in Brazil	0.0	weak
Gene variant that makes people less inclined to drink alcohol might help treat addiction	1.0	weak
Gene-edited rice plants could boost the world's food supply	1.0	weak
Genetics underscores importance of motor deficits in autism	1.0	weak
Giving up beef will reduce carbon footprint more than cars, says expert	1.0	strong
Going to ground: how used coffee beans can help your garden and your health	0.0	strong
Good News For Vape Shops (And It's From The FDA!)	0.0	strong
Gorakhpur deaths: Why India’s poor public health delivery system is a killer	0.0	weak
Government both admits and denies health benefits of medical marijuana	1.0	weak
HIV Glycoprotein Gp120 Impairs Fast Axonal Transport by Activating Tak1 Signaling Pathways	1.0	weak
HIV is a human immunodeficiency virus that attacks the body’s immune system.	1.0	weak
HIV is highest among African-Americans. This advocate is working to change that.	1.0	weak
Hand-holding During Pain Synchronizes Brain Wave Patterns	1.0	weak
Happiness and Spending Less Aren’t Mutually Exclusive	0.0	strong
